,Име на локация,lat,lng,Марка/модел стнанция,,AC/DC,Мощност
106,Expo 2000 BG114,42.6667959,23.3265380,ABB,ABB DC Wallbox,DC,  22 
107,Expo 2000 BG115,42.6667960,23.3265381,ABB,ABB DC Wallbox,DC,  22 
108,Expo 2000 BG116,42.6667961,23.3265382,ABB,ABB DC Wallbox,DC,  22 
109,Expo 2000 BG117,42.6667962,23.3265383,ABB,ABB DC Wallbox,DC,  22 
110,Expo 2000 BG118,42.6667963,23.3265384,ABB,ABB DC Wallbox,DC,  24 
111,Sheinovo BG119,42.6402671,23.3115044,ABB,ABB DC Wallbox,DC,  24 
112,Shell Pravets BG100,42.9082752,23.8797908,ABB,ABB Terra 54CJ,DC,  50 
113,Shell Montana BG120,43.407028,23.2393166,ABB,ABB Terra 54CJ,DC,  50 
114,Shell Lyubimets East BG121,41.8442700,26.1195790,ABB,ABB Terra 54CJ,DC,  50 
115,Fantastiko Dragalevtsi BG178,42.6402670,23.3115043,ABB,ABB DC Wallbox,DC,  24 
116,Fantastiko Dragalevtsi BG123,42.6402671,23.3115044,ABB,ABB Wallbox,AC,  22 
117,Nu Boyana Film Studio BG124,42.6414550,23.2930449,ABB,ABB Wallbox,AC,  22 
118,Nu Boyana Film Studio BG125,42.6414550,23.2930450,ABB,ABB Wallbox,AC,  22 
119,Churekovska,41.8521550,24.4538540,Circontrol,Circontrol Wallbox,AC,  22 
120,Vratsa Municipality,43.2004640,23.5496530,ABB,ABB Wallbox,AC,  22 
121,Office BG128,42.6794849,23.3992269,Circontrol,Circontrol Wallbox,AC,  22 
122,Office BG129,42.6794850,23.3992270,Circontrol,Circontrol Wallbox,AC,  22 
123,Office BG130,42.6794851,23.3992271,Circontrol,Circontrol Wallbox,AC,  22 
124,Carwash Capital BG131,42.6202402,23.3702357,Circontrol,Circontrol Wallbox,AC,  22 
125,Merkanto Sliven BG132,42.6741890,26.3340370,ABB,ABB Wallbox,AC,  22 
126,Metro Blagoevgrad BG133,42.0121789,23.0677019,Circontrol,Circontrol Wallbox,AC,  22 
127,Metro Blagoevgrad BG134,42.0121790,23.0677020,Circontrol,Circontrol Wallbox,AC,  22 
128,Office BG135,42.6794850,23.3992270,Circontrol,Circontrol Raption 22kW,DC,  22 
129,Kambanite Green Offices BG136,42.6218900,23.3785868,Circontrol,Circontrol Wallbox,AC,  22 
130,Kambanite Green Offices BG137,42.6218900,23.3785869,Circontrol,Circontrol Wallbox,AC,  22 
131,Kambanite Green Offices BG138,42.6218900,23.3785870,Circontrol,Circontrol Wallbox,AC,  22 
132,IKEA Sofia BG139,42.6231063,23.3561997,Circontrol,Circontrol Wallbox,AC,  22 
133,IKEA Sofia BG140,42.6231064,23.3561998,Circontrol,Circontrol Wallbox,AC,  22 
134,Trade Center Europe BG141,42.672305,23.395370,Circontrol,Circontrol Wallbox,AC,  22 
135,Trade Center Europe BG142,42.672306,23.395371,Circontrol,Circontrol Wallbox,AC,  22 
136,Carwash Capital BG146000,42.6202402,23.3702357,Circontrol,Circontrol Wallbox,AC,  22 
137,Carwash Srebarna BG147,42.6591939,23.3246669,Circontrol,Circontrol Wallbox,AC,  22 
138,Carwash Srebarna BG148,42.6591940,23.3246670,Circontrol,Circontrol Wallbox,AC,  22 
139,Hyatt Regency BG143,42.6962518,23.3360418,Circontrol,Circontrol Wallbox,AC,  22 
140,Hyatt Regency BG144,42.6962519,23.3360419,Circontrol,Circontrol Wallbox,AC,  22 
141,Hyatt Regency BG145,42.6962520,23.3360420,Circontrol,Circontrol Wallbox,AC,  22 
142,Shell Trakyia South BG149,42.1978724,24.6340620,ABB,ABB Terra 54CJ,DC,  50 
143,Office Renalfa BG150,,,ABB,ABB DC Wallbox,DC,  24 
144,OMV Daskalovo BG151,42.608317,23.131311,ABB,ABB Terra 54CJ,DC,  50 
145,Krammar Office Center BG152,42.7110230,23.2716540,ABB,ABB Terra 124CC,DC,  120 
146,Serdika center - Sofia BG153,42.6913488,23.3529998,Circontrol,Circontrol Wallbox,AC,  22 
147,Serdika center - Sofia BG154,42.6913489,23.3529999,Circontrol,Circontrol Wallbox,AC,  22 
148,Serdika center - Sofia BG155,42.6913490,23.3530000,Circontrol,Circontrol Wallbox,AC,  22 
149,OMV Goliamokonarsko BG156,42.1916633,24.6727085,ABB,ABB Terra 54CJ,DC,  50 
150,Fantastiko Bankya BG157,42.7164980,23.1706590,Circontrol,Circontrol Wallbox,DC,  24 
151,Fantastiko Bankya BG158,42.7164981,23.1706591,ABB,ABB DC Wallbox,AC,  22 
152,Plovdiv Plaza Mall BG159,42.1453237,24.7813887,Circontrol,Circontrol Wallbox,AC,  22 
153,Plovdiv Plaza Mall BG160,42.1453238,24.7813888,Circontrol,Circontrol Wallbox,AC,  22 
154,Plovdiv Plaza Mall BG161,42.1453239,24.7813889,Circontrol,Circontrol Wallbox,AC,  22 
155,Plovdiv Plaza Mall BG162,42.1453240,24.7813890,Circontrol,Circontrol Wallbox,AC,  22 
156,Fantastiko Druzhba BG163,42.6500980,23.4074750,Circontrol,Circontrol Wallbox,AC,  22 
157,Vassilevi Plaza BG164,42.7072805,23.3351545,ABB,ABB Terra 24CG,DC,  22 
158,Vassilevi Plaza BG165,42.7072806,23.3351546,ABB,ABB Terra 54CJ,DC,  50 
159,Vassilevi Plaza BG166,42.7072807,23.3351547,ABB,ABB Terra 54CJ,DC,  50 
160,Vassilevi Plaza BG167,42.7072808,23.3351548,ABB,ABB Terra 54CJ,DC,  50 
161,Vassilevi Plaza BG168000,42.7072809,23.3351549,ABB,ABB Terra 54CJ,DC,  50 
162,Vassilevi Plaza BG169,42.7072810,23.3351550,ABB,ABB Terra 54CJ,DC,  50 
163,Carwash Capital BG170000,42.6202402,23.3702356,Circontrol,Circontrol Wallbox,AC,  22 
164,Carwash Capital BG171000,42.6202402,23.3702357,Circontrol,Circontrol Wallbox,AC,  22 
165,Auto SPA BG172,,,Circontrol,Circontrol Wallbox,AC,  22 
166,Auto SPA BG173,,,ABB,ABB DC Wallbox,DC,  24 
167,UMG вЂ“ University of Mining and Geology BG174,42.6593291,23.3531231,Circontrol,Circontrol Wallbox,AC,  22 
168,UMG вЂ“ University of Mining and Geology BG175,42.6593292,23.3531232,Circontrol,Circontrol Wallbox,AC,  22 
169,UMG вЂ“ University of Mining and Geology BG176,42.6593293,23.3531233,Circontrol,Circontrol Wallbox,AC,  22 
170,Shell Lulin BG177,42.7191660,23.2536690,ABB,ABB DC Wallbox,DC,  24 
171,Sheinovo BG122,42.6402671,23.3115044,ABB,ABB DC Wallbox,DC,  24 
172,Parking Gurko Burgas BG179,42.5009940,27.4757320,ABB,ABB DC Wallbox,DC,  24 
173,Lufthansa BG180,42.6876752,23.4130741,Circontrol,Circontrol Wallbox,AC,  22 
174,Lufthansa BG181,42.6876753,23.4130742,Circontrol,Circontrol Wallbox,AC,  22 
175,Lufthansa BG182,42.6876754,23.4130743,Circontrol,Circontrol Wallbox,AC,  22 
176,Lufthansa BG183,42.6876755,23.4130744,Circontrol,Circontrol Wallbox,AC,  22 
177,OMV Burgas Izgrev BG184,,,ABB,ABB Terra 54CJ,DC,  24 
178,Shell Maritsa BG185,42.1537390,24.7638200,ABB,ABB Terra 54CJ,DC,  50 
179,Bricolage Burgas BG186,42.4720471,27.4326325,ABB,ABB Terra 54CJ,DC,  50 
180,Shell Trakyia North BG187,42.1987230,24.6375190,ABB,ABB Terra 54CJ,DC,  50 
181,Gazprom BG188,42.6387540,23.4131950,ABB,ABB Terra 54CJ,DC,  50 
